 13.16	 1981	 12	 13	 0	 0	 0.000000
 13.04	 1981	 12	 14	 0	 0	 0.000000
 12.89	 1981	 12	 15	 0	 0	 0.000000
 12.72	 1981	 12	 16	 0	 0	 0.000000
 12.61	 1981	 12	 17	 0	 0	 0.000000
 12.65	 1981	 12	 18	 0	 0	 0.000000
 12.69	 1981	 12	 19	 0	 0	 0.000000
 12.68	 1981	 12	 20	 0	 0	 0.000000
 12.34	 1981	 12	 21	 0	 0	 0.000000
 12.69	 1981	 12	 22	 0	 0	 0.000000
 12.79	 1981	 12	 23	 0	 0	 0.000000
 12.79	 1981	 12	 24	 0	 0	 0.000000
 12.54	 1981	 12	 25	 0	 0	 0.000000
 12.44	 1981	 12	 26	 0	 0	 0.000000
 12.4	 1981	 12	 27	 0	 0	 0.000000
 12.29	 1981	 12	 28	 0	 0	 0.000000
 12.21	 1981	 12	 29	 0	 0	 0.000000
 12.12	 1981	 12	 30	 0	 0	 0.000000
 11.91	 1981	 12	 31	 0	 0	 0.000000
 11.97	 1982	 1	 1	 0	 0	 0.000000
 11.95	 1982	 1	 2	 0	 0	 0.000000
 11.88	 1982	 1	 3	 0	 0	 0.000000
 11.68	 1982	 1	 4	 0	 0	 0.000000
 11.75	 1982	 1	 5	 0	 0	 0.000000
 11.77	 1982	 1	 6	 0	 0	 0.000000
 11.48	 1982	 1	 7	 0	 0	 0.000000
 11.33	 1982	 1	 8	 0	 0	 0.000000
 11.2	 1982	 1	 9	 0	 0	 0.000000
 11.07	 1982	 1	 10	 0	 0	 0.000000
 10.41	 1982	 1	 11	 0	 0	 0.000000
 10.35	 1982	 1	 12	 0	 0	 0.000000
 10.17	 1982	 1	 13	 0	 0	 0.000000
 10.04	 1982	 1	 14	 0	 0	 0.000000
 10.24	 1982	 1	 15	 0	 0	 0.000000
 9.87	 1982	 1	 16	 0	 0	 0.000000
 9.61	 1982	 1	 17	 0	 0	 0.000000
 9.67	 1982	 1	 18	 0	 0	 0.000000
 10	 1982	 1	 19	 0	 0	 0.000000
 10.38	 1982	 1	 20	 0	 0	 0.000000
 10.45	 1982	 1	 21	 0	 0	 0.000000
 10.32	 1982	 1	 22	 0	 0	 0.000000
 10.26	 1982	 1	 23	 0	 0	 0.000000
 10.43	 1982	 1	 24	 0	 0	 0.000000
 10.4	 1982	 1	 25	 0	 0	 0.000000
 10.33	 1982	 1	 26	 0	 0	 0.000000
 10.56	 1982	 1	 27	 0	 0	 0.000000
 10.5	 1982	 1	 28	 0	 0	 0.000000
 10.45	 1982	 1	 29	 0	 0	 0.000000
 10.23	 1982	 1	 30	 0	 0	 0.000000
 10.19	 1982	 1	 31	 0	 0	 0.000000
 10.13	 1982	 2	 1	 0	 0	 0.000000
 10.07	 1982	 2	 2	 0	 0	 0.000000
 10.01	 1982	 2	 3	 0	 0	 0.000000
 9.66	 1982	 2	 4	 0	 0	 0.000000
 9.77	 1982	 2	 5	 0	 0	 0.000000
 9.75	 1982	 2	 6	 0	 0	 0.000000
 9.6	 1982	 2	 7	 0	 0	 0.000000
 9.51	 1982	 2	 8	 0	 0	 0.000000
 9.37	 1982	 2	 9	 0	 0	 0.000000
 9.18	 1982	 2	 10	 0	 0	 0.000000
 8.91	 1982	 2	 11	 0	 0	 0.000000
